order_id,order_date,customer_name,customer_id,email,phone,address,product,quantity,unit_price,discount,tax,shipping_cost,total_price,currency,payment_status,fulfillment_status,shipping_country,shipping_method,order_tags,notes,orderid,orderdate
1000-01,2025-12-10,Erin Obrien,22199,olivia54@example.org,189186864968383,"8928 Jennifer Mills North Adam, AL 92121",Dumbbell Set 20kg,2.5,45.0,9.0,5.4,,90.0,,partially refunded,fulfilled,United States of America,Express,vip;backorder;first-time,"Fragile, handle with care",1000-01,2025-12-10
ORD1001,2016-10-01,Emily Duffy,CUST-473,molly35@example.net,,257 Stacy Mountain South Seanborough DC 55650,Whey Protein,2.5,35.0,10.5,0.15,7.5,,USD,paid,partial,United States,Pickup,gift;vip,"Fragile, handle with care",,
ORD-1002,2026-01-07,Timothy Stewart,43840,cranejoan@example.net,0014168244664,"99453 Burns Village Suite 747 Hamiltonbury, FM 22967",Whey Protein,5.0,35.0,17.5,10.5,9.99,175.0,EUR,paid,partial,U.S.A.,Pickup,vip;first-time;gift,,,
ORD-1003,2025-12-06,Jason Morales,CUST-457,paulburgess@example.net,5817758256,"80730 Laura Drives Suite 076 New Johntown, MP 65703",Bottle Steel,10.0,45.0,,31.5,7.5,450.0,EUR,chargeback,unfulfilled,United States of America,Pickup,,"Fragile, handle with care",ORD-1003,
1004,2025-12-07,John Blake,,amy43@example.com,3839074566,"2051 Jacob Meadow Suite 997, Timothymouth, PR 79316",Stainl3ss Water Bottle,4.0,15.5,0.0,3.72,9.99,62.0,,unpaid,cancelled,United States of America,Local Delivery,gift;backorder;wholesale,,,2025-12-07
ORD-1005,2026-01-05,Robert Garcia,,corey44 at example.net,,"919 Michael Views Johnport, NC 71079",Running Shoes (Pro),7.0,89.99,94.49,44.1,0.0,7.0,,paid,unfulfilled,USA,Express,first-time;backorder,Leave at door,,
1006-01,2025-12-18,"Boyer, Lisa",CUST-736,griffithmichael@example.net,486347172022523,"590 Garcia Fords Ellisonbury, AS 63316",WheyProtein,9.0,35.0,0.05,22.05,9.99,315.0,US$,partially refunded,unfulfilled,United States of America,International,,!!!,1006-01,
ORD1007,,Toni Mills,CUST-428,fesparza at example.com,682474205716796,,Running Sho3s (Pro),9.0,89.99,80.99,64.79,7.5,809.91,US$,paid,fulfilled,United States of America,Express,backorder;first-time;vip,,,
ORD1008,2015-12-23,Jonathan Brown,23130,walterluke@example.com,661530018293549,"427 Sierra Fork, New Kimberlyshire, MN 15715",Yoga Mat,7.0,29.99,20.99,14.7,4.99,209.93,US$,paid,partial,United States of America,Standard,gift;wholesale;backorder,!!!,,2015-12-23
ORD-1009,2026-01-20,Steven Crosby,CUST-591,allenjesus@example.org,0017673289477541,"390 Campbell Lake Justinfurt, NV 52404",yoga mat,1.0,29.99,0.0,2.1,4.99,29.99,EUR,paid,fulfilled,"California, US",Local Delivery,,!!!,ORD-1009,
