Order ID,Order Date,Customer Name,Customer ID,Email,Phone,Address,Product,Quantity,Unit Price,Discount,Tax,Shipping Cost,Total Price,Currency,Payment Status,Fulfillment Status,Shipping Country,Shipping Method,Order Tags,Notes,OrderId,OrderDate
1000-01,2025/12/10 00:00:00,\tErin Obrien ,22199,OLIVIA54@EXAMPLE.ORG,+1 891 868 6496x8383,"  8928 Jennifer Mills
North Adam, AL 92121  ",Dumbbell Set 20kg,2-3,45.00,$9.00,USD 5.40,,90.0,,Partially Refunded,  fulfilled,United States of America,Express,vip/backorder/first-time,"Fragile, handle with care",1000-01,2025/12/10 00:00:00
ORD1001,10/01/2016,Emily Duffy,CUST-473,molly35@example.net,,"257 Stacy Mountain
South Seanborough DC 55650",Whey Protein,2-3,35.0,$10.50,15%,"7,50",, USD,Paid,partial,United States,Pickup,"  gift,vip","Fragile, handle with care",,
ORD-1002,2026-01-07,Timothy Stewart,43840,  cranejoan@example.net ,001-416-824-4664,"\t99453 Burns Village Suite 747
Hamiltonbury, FM 22967 ",Whey Protein,5,35.0,$17.50,$10.50,9.99,175.0,EUR, Paid ,partial,U.S.A.,Pickup,vip/first-time/gift,,,
ORD-1003,12-06-2025 00:00,Jason Morales,CUST-457,paulburgess@example.net,5817758256,"80730 Laura Drives Suite 076
New Johntown, MP 65703",Bottle Steel ,10,45.00,,$31.50,$7.50,450.0,EUR,Chargeback,unfulfilled,United States of America,Pickup,," Fragile, handle with care  ",ORD-1003,
 1004 ,12-07-2025 00:00,\tJohn Blake ,NULL,amy43@example.com,(383)907-4566,"2051 Jacob Meadow Suite 997, Timothymouth, PR 79316",Stainl3ss Water Bottle,4.0,15.5,$0.00,3.72,"9,99",USD 62.00,,Unpaid,cancelled,United States of America, Local Delivery,gift|backorder|wholesale,,,12-07-2025 00:00
 ORD-1005,2026/01/05 00:00:00,Robert Garcia,,corey44 at example.net,-," 919 Michael Views
Johnport, NC 71079",Running Shoes (Pro),7,"89,99 ",94.49,$44.10,$0.00,7,,paid,unfulfilled,USA,Express,"first-time , backorder",Leave at door,,
\t1006-01 ,12-18-2025 00:00,"Boyer, Lisa",CUST-736,griffithmichael@example.net, (486)347-1720x22523 ,"590 Garcia Fords
Ellisonbury, AS 63316",WheyProtein,9,  35.00 ,\t5%,$22.05,9.99 ,$315.00,US$,Partially Refunded,unfulfilled,United States of America,International,,!!!,\t1006-01 ,
ORD1007,unknown, Toni Mills,CUST-428,fesparza at example.com,\t682.474.2057x16796 , ,Running Sho3s (Pro),9 pcs,"\t89,99",$80.99,64.79,$7.50,809.91,US$,paid,FULFILLED,  United States of America  ,Express,"backorder , first-time , vip",,,
ORD1008,23/12/2015,Jonathan Brown,23130,walterluke@example.com,661.530.0182x93549,"427 Sierra Fork, New Kimberlyshire, MN 15715",  Yoga Mat  ,7.0,$29.99,USD 20.99,14.7,\t4.99,"209,93",US$,  Paid  ,partial, United States of America,Standard,\tgift/wholesale/backorder ,!!!,,23/12/2015
